key,input,mw
XGWRTDNWECZBAL-UHFFFAOYSA-N,O=C(CC1=CC=CS1)N1CCC2=NN=C(COC3=CN=CN=C3)N2CC1,370.43800000000005
GNENXOHUEGOGNT-DHIUTWEWSA-N,CC(=O)O[C@@H]1C2=CC=C(CN(C)C)N2C2=CC(C(F)(F)F)=CC=C2S[C@@H]1C1=CC=CC=C1,460.5210000000001
DSLIZGOPHFWRAI-CYBMUJFWSA-N,CC(=O)[C@@H](CCC1=CC=C(C(F)(F)F)C=C1)N1C=NC2=C(N)N=CN=C12,363.3430000000001
MWLJMHNEIIFTPT-UHFFFAOYSA-N,CNCC1=CN(S(=O)(=O)C2=CC=C(C)C=C2)C(C2=CC=CC=C2)=C1,340.44800000000004
SFISXSOEMZXFOK-UHFFFAOYSA-N,COC1=CC=CC(CN2CCN(CC3=CC=CC(F)=C3)CC2)=C1,314.40400000000005
PWTVVZRYWDJFME-UMSAYILPSA-N,CCOC1=C2[C@@H](CN(S(=O)(=O)C3=CC=C(C)C=C3)[C@H]2C2=CC=CC=C2)[C@H]2C(=O)N(CC3=CC=CC=C3)C(=O)[C@H]2C1,556.6840000000002
KMHCMJXNPYNIPV-UHFFFAOYSA-N,CCC1=C(C2=CC(C(=O)N3CC(C4=CC=C(C#N)C=C4)C3)=C(C)C=C2C)NN=C1F,402.4730000000001
YYWLVPLBSCBCJM-NZCJCXCVSA-N,COC1=CC=C(C[C@H]2NC(=O)/C=C/C[C@@H]([C@H](C)[C@H]3O[C@@H]3C3=CC=CC=C3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](CCN=[N+]=[N-])CNC2=O)C=C1Cl,710.228
RTEHBLBXENFUKK-UHFFFAOYSA-N,CC(C)(C)NC(=S)NCC1=NC(Cl)=CN=C1N,273.79300000000006
NLDBCTLCFNLOHN-AWEZNQCLSA-N,CCC[C@H](C)OC1=NC(N)=C2NC(=O)N(CCCCCC3CCNCC3)C2=N1,390.5320000000002
DYWWDXAHINBQKB-UHFFFAOYSA-N,CC1=CC=C(OCC(=O)O/N=C(\N)C2=CC=CN=C2)C=C1,285.303
MPJAYDVLNRGVQG-YHSAGPEESA-N,Cl.NCC(O)NC1/C=C\CCCCC1,220.74399999999994
